GoogleMetroArea,trends_geocode,typearea,GeoName,State,zip_code
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4259
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4238
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4062
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4852
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4847
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3853
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4024
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4360
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4028
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4107
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4223
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4236
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4351
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3583
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4343
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3589
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4287
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4069
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4578
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4110
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4330
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4274
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4982
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4230
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4082
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4938
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4558
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,3872
Portland-Auburn ME,500,DMA,Portland-Auburn,ME-NH,4258
